KODE_KL,NAMA_KL,KODE_KPKNL,NAMA_KPKNL,KODE_SATKER,NAMA_SATKER,KODE_SUB_SATKER,NAMA_SUB_SATKER,KELOMPOK,SUB_KELOMPOK,KODE_BARANG,NAMA_BARANG,NUP,NO_KIB,TANGGAL_PEROLEHAN,TGL_REKAM_PERTAMA,NILAI_PEROLEHAN_PERTAMA,NILAI_MUTASI,NILAI_PEROLEHAN,NILAI_PENYUSUTAN,NILAI_BUKU,KONDISI,MERK,KUANTITAS,JUMLAH_FOTO,JUMLAH_KIB,NO_DANA,TGL_DANA,DARI,ASL_PERLH,TGL_PERLH,NO_PSP,TGL_PSP,STATUS_PENGELOLAAN,THN_RAKIT,THN_BUAT,NEGARA,DAYA_ANGKUT,BOBOT,DAYA_MESIN,MESIN_PENGGERAK,JLH_MESIN,BHN_BAKAR,NO_MESIN,NO_RANGKA,NO_BPKB,NO_POLISI,TGL_BERLAKU_MULAI,TGL_BERLAKU_SD,NO_SIP,TGL_SIP,NIP_PEMAKAI,NAMA_PEMAKAI,NO_KTP_PEMAKAI,TEMPAT_LAHIR_PEMAKAI,TGL_LAHIR_PEMAKAI,GOL_PEMAKAI,JAB_PEMAKAI,JAB_FUNG_PEMAKAI,TMT_JAB_PEMAKAI,TGL_PENSIUN_PEMAKAI,STATUS_PENGGUNAAN,JENIS_PENGGUNA,KD_SATKER_PENGGUNA,UR_SATKER_PENGGUNA,ALAMAT_SATKER_PENGGUNA,TGL_TARIK
A,KEMENTERIAN A,6655,X,BB,X,X,X,X,X,3020102003,Sepeda Motor,5,5,2014-4-23 00:00:00.000,00:00.0,84629988,0,84629988,16925998,67703990,Baik,VZX,1,5,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,6570,X,BB,X,X,X,X,X,3020102003,Sepeda Motor,6,6,2015-7-3 00:00:00.000,00:00.0,31255823,0,31255823,3125582,28130241,Baik,SVW,1,4,X,X,X,102 (Transfer Masuk),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,4723,X,BB,X,X,X,X,X,3020103003,Sepeda Motor,1,1,2016-7-9 00:00:00.000,00:00.0,84414840,0,84414840, -   ,84414840,Baik,DWU,1,4,X,X,X,100 (Saldo Awal),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,5118,X,BB,X,X,X,X,X,3020103003,Mobil Y,2,2,2016-5-21 00:00:00.000,00:00.0,157406213,0,157406213, -   ,157406213,Baik,JVX,1,4,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,6527,X,BB,X,X,X,X,X,3020103003,Mini Bus ( Penumpang 14 Orang Kebawah ),3,3,2015-12-19 00:00:00.000,00:00.0,144005024,0,144005024,14400502,129604522,Baik,UGL,1,4,X,X,X,102 (Transfer Masuk),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,6379,X,BB,X,X,X,X,X,3020103003,Sepeda Motor,4,4,2014-9-8 00:00:00.000,00:00.0,154700301,0,154700301,30940060,123760241,Baik,HES,1,1,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,5800,X,BB,X,X,X,X,X,3020103003,Mini Bus ( Penumpang 14 Orang Kebawah ),5,5,2013-2-22 00:00:00.000,00:00.0,29088440,0,29088440,8726532,20361908,Baik,GIN,1,5,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,5893,X,BB,X,X,X,X,X,3020103003,Sepeda Motor,6,6,2015-3-28 00:00:00.000,00:00.0,96454375,0,96454375,9645438,86808938,Baik,GCP,1,2,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,7795,X,BB,X,X,X,X,X,3020104003,Sepeda Motor,1,1,2014-2-7 00:00:00.000,00:00.0,165552058,0,165552058,33110412,132441646,Baik,DWC,1,3,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,6445,X,BB,X,X,X,X,X,3020104003,Sepeda Motor,2,2,2013-6-3 00:00:00.000,00:00.0,48719478,0,48719478,14615843,34103635,Rusak Berat,PUD,1,2,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,8572,X,BB,X,X,X,X,X,3020104003,Mini Bus ( Penumpang 14 Orang Kebawah ),3,3,2015-3-13 00:00:00.000,00:00.0,118174538,0,118174538,11817454,106357084,Baik,FWK,1,5,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,4835,X,BB,X,X,X,X,X,3020104003,Sepeda Motor,4,4,2015-6-27 00:00:00.000,00:00.0,13415866,0,13415866,1341587,12074279,Baik,DPB,1,3,X,X,X,100 (Saldo Awal),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,5013,X,BB,X,X,X,X,X,3020104003,Sepeda Motor,5,5,2013-5-19 00:00:00.000,00:00.0,101991378,0,101991378,30597413,71393965,Baik,ORZ,1,3,X,X,X,102 (Transfer Masuk),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,6772,X,BB,X,X,X,X,X,3020104003,Sepeda Motor,6,6,2015-5-24 00:00:00.000,00:00.0,80923152,0,80923152,8092315,72830837,Baik,HOU,1,5,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,9607,X,BB,X,X,X,X,X,3020105003,Sepeda Motor,1,1,2016-12-22 00:00:00.000,00:00.0,176978607,0,176978607, -   ,176978607,Baik,IBQ,1,3,X,X,X,100 (Saldo Awal),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,6412,X,BB,X,X,X,X,X,3020105003,Sepeda Motor,2,2,2014-9-20 00:00:00.000,00:00.0,17258843,0,17258843,3451769,13807074,Baik,UZR,1,2,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,4273,X,BB,X,X,X,X,X,3020105003,Sepeda Motor,3,3,2015-8-21 00:00:00.000,00:00.0,106611947,0,106611947,10661195,95950752,Baik,BJD,1,5,X,X,X,135 (Perolehan Migrasi SIMAK),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
A,KEMENTERIAN A,6813,X,BB,X,X,X,X,X,3020105003,Sepeda Motor,4,4,2016-12-28 00:00:00.000,00:00.0,32852252,0,32852252, -   ,32852252,Baik,PDC,1,0,X,X,X,102 (Transfer Masuk),AIUEO,00:00.0,KEP-XXX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
